id_paiement,compte_id,destinataire,montant,date_paiement,type_paiement,frequence,statut,moyen_paiement,description
1,475,onee,1049.09,2024-05-30,salaire,bimensuel,actif,carte,Versement automatique du salaire au beneficiaire.
2,3,onee,3538.19,2025-02-09,salaire,mensuel,annul,carte,Versement automatique du salaire au beneficiaire.
3,313,lydec,7067.1,2024-05-02,don,trimestriel,actif,prlvement,Paiement automatique effectue depuis votre compte.
4,412,ram,2485.52,2024-11-15,prlvement fiscal,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
5,457,marjane,9861.76,2024-12-09,abonnement,bimensuel,suspendu,carte,Paiement regulier pour un abonnement.
6,135,oncf,5662.18,2024-10-01,salaire,trimestriel,suspendu,prlvement,Versement automatique du salaire au beneficiaire.
7,290,ministre des finances,7636.08,2024-10-07,don,bimensuel,actif,carte,Paiement automatique effectue depuis votre compte.
8,376,afriquia,9227.56,2024-08-14,prlvement fiscal,trimestriel,actif,prlvement,Paiement automatique effectue depuis votre compte.
9,394,afriquia,2208.66,2024-05-24,prlvement fiscal,mensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
10,207,ram,2632.59,2024-10-18,don,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
11,32,total maroc,8909.32,2024-06-25,don,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
12,465,cnss,9271.44,2024-11-19,salaire,mensuel,actif,prlvement,Versement automatique du salaire au beneficiaire.
13,55,carrefour maroc,5346.4,2025-01-16,prlvement fiscal,bimensuel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
14,346,ministre des finances,9255.45,2024-11-19,prlvement fiscal,bimensuel,suspendu,virement,Paiement automatique effectue depuis votre compte.
15,56,caisse de dpt,9039.63,2024-08-24,abonnement,bimensuel,suspendu,carte,Paiement regulier pour un abonnement.
16,37,oncf,7167.51,2025-01-12,prlvement fiscal,trimestriel,annul,virement,Paiement automatique effectue depuis votre compte.
17,238,carrefour maroc,1793.68,2024-09-11,don,mensuel,actif,virement,Paiement automatique effectue depuis votre compte.
18,371,wafa assurance,7309.05,2025-04-07,prlvement fiscal,bimensuel,annul,prlvement,Paiement automatique effectue depuis votre compte.
19,198,inwi,3249.86,2024-05-26,prlvement fiscal,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
20,29,marjane,2118.71,2025-04-17,abonnement,mensuel,annul,prlvement,Paiement regulier pour un abonnement.
21,126,universit mohammed v,855.43,2024-11-14,loyer,mensuel,suspendu,carte,Paiement mensuel du loyer effectue automatiquement.
22,414,universit hassan ii,2808.57,2024-11-26,loyer,trimestriel,suspendu,virement,Paiement mensuel du loyer effectue automatiquement.
23,364,tgr,8329.55,2024-09-10,salaire,mensuel,annul,virement,Versement automatique du salaire au beneficiaire.
24,109,universit hassan ii,4981.36,2024-12-30,prlvement fiscal,mensuel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
25,400,axa maroc,2299.13,2024-08-26,prlvement fiscal,trimestriel,suspendu,virement,Paiement automatique effectue depuis votre compte.
26,37,onee,4615.01,2024-07-19,abonnement,mensuel,actif,prlvement,Paiement regulier pour un abonnement.
27,249,maroc telecom,6229.18,2024-12-09,loyer,trimestriel,suspendu,carte,Paiement mensuel du loyer effectue automatiquement.
28,427,banque populaire,5951.49,2025-03-06,prlvement fiscal,bimensuel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
29,120,cnss,2239.84,2025-03-17,loyer,bimensuel,annul,virement,Paiement mensuel du loyer effectue automatiquement.
30,230,marjane,6135.21,2024-08-07,don,bimensuel,suspendu,virement,Paiement automatique effectue depuis votre compte.
31,44,lydec,260.62,2024-09-02,don,trimestriel,annul,prlvement,Paiement automatique effectue depuis votre compte.
32,418,banque populaire,4759.42,2024-07-08,loyer,mensuel,annul,prlvement,Paiement mensuel du loyer effectue automatiquement.
33,237,lydec,723.59,2024-08-06,abonnement,mensuel,suspendu,prlvement,Paiement regulier pour un abonnement.
34,346,total maroc,7846.71,2024-09-02,don,trimestriel,actif,prlvement,Paiement automatique effectue depuis votre compte.
35,5,universit mohammed v,1028.14,2024-06-25,prlvement fiscal,bimensuel,actif,carte,Paiement automatique effectue depuis votre compte.
36,21,maroc telecom,5046.31,2024-07-10,loyer,mensuel,actif,virement,Paiement mensuel du loyer effectue automatiquement.
37,385,wafa assurance,1410.84,2025-03-07,loyer,mensuel,annul,carte,Paiement mensuel du loyer effectue automatiquement.
38,287,inwi,8752.32,2025-03-28,prlvement fiscal,mensuel,suspendu,virement,Paiement automatique effectue depuis votre compte.
39,433,axa maroc,454.01,2024-11-10,loyer,trimestriel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
40,194,tgr,2039.72,2025-02-02,salaire,trimestriel,annul,virement,Versement automatique du salaire au beneficiaire.
41,3,universit mohammed v,9167.35,2024-09-09,don,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
42,432,onee,492.69,2024-06-25,loyer,bimensuel,annul,carte,Paiement mensuel du loyer effectue automatiquement.
43,41,onee,7935.67,2024-06-02,don,mensuel,actif,prlvement,Paiement automatique effectue depuis votre compte.
44,77,axa maroc,1602.91,2024-08-12,loyer,trimestriel,suspendu,carte,Paiement mensuel du loyer effectue automatiquement.
45,396,wafa assurance,9129.83,2024-09-27,prlvement fiscal,bimensuel,annul,prlvement,Paiement automatique effectue depuis votre compte.
46,198,cih bank,4383.1,2025-03-24,abonnement,mensuel,actif,carte,Paiement regulier pour un abonnement.
47,11,wafa assurance,8146.15,2024-06-08,salaire,bimensuel,annul,carte,Versement automatique du salaire au beneficiaire.
48,162,carrefour maroc,456.73,2024-05-20,abonnement,trimestriel,suspendu,prlvement,Paiement regulier pour un abonnement.
49,81,total maroc,927.92,2025-04-12,prlvement fiscal,trimestriel,actif,carte,Paiement automatique effectue depuis votre compte.
50,427,assurance atlanta,6401.49,2025-01-23,loyer,bimensuel,annul,carte,Paiement mensuel du loyer effectue automatiquement.
51,486,marjane,6215.12,2024-05-22,salaire,mensuel,actif,carte,Versement automatique du salaire au beneficiaire.
52,73,assurance atlanta,6543.4,2024-05-13,abonnement,bimensuel,actif,virement,Paiement regulier pour un abonnement.
53,495,marjane,1876.43,2025-01-26,loyer,trimestriel,suspendu,prlvement,Paiement mensuel du loyer effectue automatiquement.
54,165,afriquia,5081.54,2024-09-11,don,mensuel,annul,virement,Paiement automatique effectue depuis votre compte.
55,79,maroc telecom,1630.26,2024-09-02,don,mensuel,annul,virement,Paiement automatique effectue depuis votre compte.
56,316,oncf,1389.56,2024-12-07,abonnement,mensuel,annul,carte,Paiement regulier pour un abonnement.
57,231,universit hassan ii,8333.85,2025-01-24,don,bimensuel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
58,453,iam,1861.08,2024-10-17,don,trimestriel,actif,carte,Paiement automatique effectue depuis votre compte.
59,467,inwi,6187.92,2025-01-31,loyer,bimensuel,annul,carte,Paiement mensuel du loyer effectue automatiquement.
60,118,lydec,7009.89,2024-11-27,don,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
61,388,universit hassan ii,1828.88,2025-02-04,don,mensuel,annul,virement,Paiement automatique effectue depuis votre compte.
62,486,total maroc,6126.0,2025-01-23,don,trimestriel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
63,307,onee,9078.56,2024-08-08,loyer,bimensuel,annul,carte,Paiement mensuel du loyer effectue automatiquement.
64,63,universit hassan ii,3048.27,2024-07-01,prlvement fiscal,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
65,327,ram,8502.17,2024-06-26,salaire,bimensuel,suspendu,carte,Versement automatique du salaire au beneficiaire.
66,237,total maroc,9471.21,2025-04-11,abonnement,trimestriel,annul,carte,Paiement regulier pour un abonnement.
67,57,marjane,2055.45,2025-02-06,abonnement,bimensuel,annul,prlvement,Paiement regulier pour un abonnement.
68,298,inwi,6392.56,2024-07-25,abonnement,trimestriel,suspendu,virement,Paiement regulier pour un abonnement.
69,75,ministre des finances,1817.88,2025-02-21,don,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
70,132,ministre des finances,7362.98,2024-08-06,salaire,mensuel,suspendu,carte,Versement automatique du salaire au beneficiaire.
71,394,caisse de dpt,7727.4,2024-05-31,salaire,bimensuel,annul,carte,Versement automatique du salaire au beneficiaire.
72,176,oncf,2823.86,2024-07-25,loyer,mensuel,annul,virement,Paiement mensuel du loyer effectue automatiquement.
73,369,maroc telecom,1637.7,2024-06-16,loyer,bimensuel,actif,carte,Paiement mensuel du loyer effectue automatiquement.
74,213,carrefour maroc,7592.38,2024-08-17,prlvement fiscal,bimensuel,suspendu,virement,Paiement automatique effectue depuis votre compte.
75,284,dgi,1804.79,2024-06-22,abonnement,mensuel,actif,carte,Paiement regulier pour un abonnement.
76,405,carrefour maroc,7260.12,2024-09-28,abonnement,bimensuel,suspendu,carte,Paiement regulier pour un abonnement.
77,264,iam,9859.88,2025-01-14,prlvement fiscal,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
78,418,marjane,7726.61,2025-04-09,salaire,bimensuel,annul,prlvement,Versement automatique du salaire au beneficiaire.
79,77,ministre de lducation,152.44,2024-06-23,abonnement,trimestriel,annul,prlvement,Paiement regulier pour un abonnement.
80,1,cih bank,2098.16,2024-11-04,don,trimestriel,suspendu,virement,Paiement automatique effectue depuis votre compte.
81,406,caisse de dpt,872.09,2024-12-15,salaire,trimestriel,suspendu,carte,Versement automatique du salaire au beneficiaire.
82,498,maroc telecom,1083.06,2025-01-31,salaire,mensuel,actif,virement,Versement automatique du salaire au beneficiaire.
83,183,axa maroc,7743.14,2024-11-16,loyer,trimestriel,suspendu,virement,Paiement mensuel du loyer effectue automatiquement.
84,109,onee,3601.2,2024-12-11,prlvement fiscal,bimensuel,actif,prlvement,Paiement automatique effectue depuis votre compte.
85,38,cih bank,3646.08,2025-02-03,don,trimestriel,suspendu,carte,Paiement automatique effectue depuis votre compte.
86,20,tgr,7780.24,2024-07-12,don,mensuel,annul,carte,Paiement automatique effectue depuis votre compte.
87,451,oncf,3706.47,2024-09-13,salaire,bimensuel,annul,prlvement,Versement automatique du salaire au beneficiaire.
88,386,ministre des finances,1457.36,2024-08-22,salaire,mensuel,actif,prlvement,Versement automatique du salaire au beneficiaire.
89,481,caisse de dpt,5610.96,2024-06-04,loyer,mensuel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
90,297,assurance atlanta,3019.51,2024-12-15,loyer,mensuel,actif,carte,Paiement mensuel du loyer effectue automatiquement.
91,250,la marocaine vie,1469.43,2024-09-03,loyer,trimestriel,suspendu,carte,Paiement mensuel du loyer effectue automatiquement.
92,204,tgr,2962.1,2024-09-28,don,trimestriel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
93,97,dgi,184.36,2024-08-24,prlvement fiscal,mensuel,suspendu,virement,Paiement automatique effectue depuis votre compte.
94,479,iam,8726.22,2025-01-24,don,bimensuel,annul,virement,Paiement automatique effectue depuis votre compte.
95,356,oncf,1094.53,2024-08-06,salaire,mensuel,actif,prlvement,Versement automatique du salaire au beneficiaire.
96,32,banque populaire,3463.08,2024-09-06,prlvement fiscal,trimestriel,suspendu,virement,Paiement automatique effectue depuis votre compte.
97,142,cih bank,2734.74,2025-01-14,abonnement,bimensuel,annul,carte,Paiement regulier pour un abonnement.
98,69,tgr,2285.34,2025-02-08,don,trimestriel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
99,196,cih bank,2884.75,2024-09-26,abonnement,trimestriel,annul,virement,Paiement regulier pour un abonnement.
100,427,axa maroc,5111.96,2024-04-23,loyer,bimensuel,suspendu,carte,Paiement mensuel du loyer effectue automatiquement.
101,363,axa maroc,1430.2,2024-07-17,prlvement fiscal,trimestriel,annul,carte,Paiement automatique effectue depuis votre compte.
102,466,afriquia,8733.52,2024-09-03,salaire,trimestriel,suspendu,prlvement,Versement automatique du salaire au beneficiaire.
103,243,assurance atlanta,2536.64,2024-09-24,prlvement fiscal,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
104,69,ram,9491.58,2024-09-16,don,mensuel,annul,carte,Paiement automatique effectue depuis votre compte.
105,171,caisse de dpt,4636.66,2024-06-07,prlvement fiscal,trimestriel,annul,prlvement,Paiement automatique effectue depuis votre compte.
106,92,iam,9265.1,2024-12-18,salaire,bimensuel,suspendu,prlvement,Versement automatique du salaire au beneficiaire.
107,152,maroc telecom,7308.04,2024-10-29,salaire,mensuel,actif,virement,Versement automatique du salaire au beneficiaire.
108,5,cih bank,3072.05,2024-07-05,prlvement fiscal,trimestriel,suspendu,virement,Paiement automatique effectue depuis votre compte.
109,57,ministre des finances,8313.54,2024-11-30,don,bimensuel,annul,carte,Paiement automatique effectue depuis votre compte.
110,410,assurance atlanta,3780.47,2025-01-29,prlvement fiscal,trimestriel,annul,virement,Paiement automatique effectue depuis votre compte.
111,370,marjane,4457.84,2024-12-18,prlvement fiscal,trimestriel,suspendu,carte,Paiement automatique effectue depuis votre compte.
112,478,wafa assurance,9767.05,2024-09-14,don,trimestriel,actif,virement,Paiement automatique effectue depuis votre compte.
113,122,tgr,3450.2,2025-02-28,abonnement,trimestriel,actif,virement,Paiement regulier pour un abonnement.
114,382,ministre de lducation,6325.47,2024-07-31,abonnement,trimestriel,suspendu,prlvement,Paiement regulier pour un abonnement.
115,180,inwi,5988.98,2024-05-15,abonnement,trimestriel,suspendu,carte,Paiement regulier pour un abonnement.
116,355,inwi,4598.86,2024-10-23,don,trimestriel,annul,virement,Paiement automatique effectue depuis votre compte.
117,55,iam,8189.68,2025-04-19,abonnement,bimensuel,suspendu,prlvement,Paiement regulier pour un abonnement.
118,369,cnss,8086.35,2025-03-16,loyer,mensuel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
119,417,cih bank,718.86,2025-02-06,salaire,mensuel,suspendu,virement,Versement automatique du salaire au beneficiaire.
120,342,inwi,3711.91,2024-09-21,abonnement,bimensuel,actif,carte,Paiement regulier pour un abonnement.
121,427,tgr,6356.59,2025-01-01,loyer,bimensuel,actif,carte,Paiement mensuel du loyer effectue automatiquement.
122,220,tgr,3159.35,2024-12-20,abonnement,trimestriel,suspendu,prlvement,Paiement regulier pour un abonnement.
123,244,onee,4630.34,2025-01-30,loyer,mensuel,suspendu,prlvement,Paiement mensuel du loyer effectue automatiquement.
124,453,caisse de dpt,2235.94,2025-01-04,prlvement fiscal,trimestriel,annul,virement,Paiement automatique effectue depuis votre compte.
125,468,lydec,9148.43,2024-08-30,salaire,trimestriel,actif,carte,Versement automatique du salaire au beneficiaire.
126,222,iam,7243.69,2024-10-19,don,mensuel,annul,carte,Paiement automatique effectue depuis votre compte.
127,403,assurance atlanta,2071.16,2024-04-22,abonnement,mensuel,suspendu,virement,Paiement regulier pour un abonnement.
128,393,wafa assurance,101.95,2024-10-25,prlvement fiscal,trimestriel,actif,prlvement,Paiement automatique effectue depuis votre compte.
129,216,ministre de lducation,5381.98,2024-10-12,don,trimestriel,suspendu,virement,Paiement automatique effectue depuis votre compte.
130,342,total maroc,4773.95,2024-12-07,salaire,mensuel,suspendu,virement,Versement automatique du salaire au beneficiaire.
131,204,ministre de lducation,4453.42,2024-08-02,abonnement,mensuel,annul,prlvement,Paiement regulier pour un abonnement.
132,226,axa maroc,9453.98,2024-12-02,loyer,bimensuel,suspendu,prlvement,Paiement mensuel du loyer effectue automatiquement.
133,304,cih bank,6872.27,2024-05-28,abonnement,trimestriel,annul,carte,Paiement regulier pour un abonnement.
134,495,axa maroc,4018.26,2024-06-26,salaire,trimestriel,suspendu,carte,Versement automatique du salaire au beneficiaire.
135,41,universit hassan ii,2927.78,2024-04-21,prlvement fiscal,mensuel,actif,virement,Paiement automatique effectue depuis votre compte.
136,393,onee,962.79,2024-05-10,don,trimestriel,annul,prlvement,Paiement automatique effectue depuis votre compte.
137,163,afriquia,9646.69,2024-07-03,abonnement,bimensuel,annul,virement,Paiement regulier pour un abonnement.
138,51,ram,508.75,2024-06-10,loyer,trimestriel,actif,carte,Paiement mensuel du loyer effectue automatiquement.
139,128,iam,2385.87,2024-09-10,salaire,trimestriel,actif,prlvement,Versement automatique du salaire au beneficiaire.
140,167,iam,1531.68,2025-04-01,loyer,bimensuel,suspendu,carte,Paiement mensuel du loyer effectue automatiquement.
141,48,inwi,6982.99,2024-11-05,loyer,bimensuel,annul,virement,Paiement mensuel du loyer effectue automatiquement.
142,410,caisse de dpt,5204.05,2024-12-30,don,mensuel,annul,prlvement,Paiement automatique effectue depuis votre compte.
143,149,ram,2962.39,2024-09-15,salaire,bimensuel,suspendu,virement,Versement automatique du salaire au beneficiaire.
144,16,maroc telecom,4695.64,2024-09-14,salaire,bimensuel,annul,carte,Versement automatique du salaire au beneficiaire.
145,378,cnss,4741.89,2024-07-05,salaire,mensuel,annul,carte,Versement automatique du salaire au beneficiaire.
146,461,universit hassan ii,8236.11,2024-10-25,salaire,mensuel,annul,virement,Versement automatique du salaire au beneficiaire.
147,50,universit mohammed v,2520.41,2024-05-03,abonnement,bimensuel,actif,virement,Paiement regulier pour un abonnement.
148,362,universit hassan ii,2048.84,2024-06-28,salaire,bimensuel,annul,carte,Versement automatique du salaire au beneficiaire.
149,238,total maroc,5105.9,2024-05-21,don,bimensuel,actif,carte,Paiement automatique effectue depuis votre compte.
150,30,iam,8290.17,2024-09-28,salaire,mensuel,suspendu,prlvement,Versement automatique du salaire au beneficiaire.
151,196,universit hassan ii,4324.89,2025-02-13,don,trimestriel,annul,prlvement,Paiement automatique effectue depuis votre compte.
152,183,maroc telecom,5204.5,2024-11-26,salaire,trimestriel,actif,carte,Versement automatique du salaire au beneficiaire.
153,42,lydec,4266.53,2025-01-25,prlvement fiscal,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
154,441,axa maroc,2170.93,2024-11-08,don,bimensuel,suspendu,carte,Paiement automatique effectue depuis votre compte.
155,444,cih bank,6520.24,2024-10-23,salaire,mensuel,actif,prlvement,Versement automatique du salaire au beneficiaire.
156,140,maroc telecom,6776.28,2024-05-01,salaire,mensuel,annul,carte,Versement automatique du salaire au beneficiaire.
157,267,afriquia,5196.49,2024-11-25,abonnement,bimensuel,annul,carte,Paiement regulier pour un abonnement.
158,26,maroc telecom,152.92,2024-05-16,loyer,trimestriel,annul,prlvement,Paiement mensuel du loyer effectue automatiquement.
159,80,maroc telecom,9026.58,2025-04-07,don,mensuel,suspendu,prlvement,Paiement automatique effectue depuis votre compte.
160,111,ram,8885.13,2024-06-18,loyer,trimestriel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
161,347,tgr,6350.91,2025-04-06,abonnement,bimensuel,actif,prlvement,Paiement regulier pour un abonnement.
162,49,ram,5964.9,2025-01-19,abonnement,trimestriel,actif,prlvement,Paiement regulier pour un abonnement.
163,274,cnss,8764.96,2024-10-07,abonnement,mensuel,suspendu,carte,Paiement regulier pour un abonnement.
164,2,cih bank,8491.86,2024-09-30,loyer,bimensuel,annul,carte,Paiement mensuel du loyer effectue automatiquement.
165,234,universit hassan ii,7470.23,2025-01-17,loyer,trimestriel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
166,221,total maroc,4451.41,2024-10-17,salaire,trimestriel,actif,virement,Versement automatique du salaire au beneficiaire.
167,211,wafa assurance,3131.51,2024-06-02,loyer,bimensuel,actif,prlvement,Paiement mensuel du loyer effectue automatiquement.
