id_service,nom_service,description,type,canal_disponible,cout_estime,delai_traitement,periodicite,type_service
251,Assistance client,Support et aide apportee au client.,transactionnel,en agence,70.81,24h,ponctuel,Operation
252,Releve bancaire,Fournit l'historique des operations du compte.,support,telephone,12.81,24h,ponctuel,Transaction
253,Consultation de compte,Permet de consulter le solde et les operations.,support,mobile,52.08,24h, la demande,Support
254,Depot d'argent,Depot d'especes sur un compte bancaire.,support,telephone,115.86,24h,mensuel,Information
255,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,mobile,121.6,5 jours, la demande,Transaction
256,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,en agence,69.04,72 heures, la demande,Support
257,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en ligne,29.49,5 jours, la demande,Information
258,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,telephone,129.56,5 jours,trimestriel,Support
259,Souscription produit,Demande de souscription a un produit bancaire.,informatif,mobile,1.77,48h,ponctuel,Operation
260,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,en agence,66.56,5 jours,annuel,Support
261,Paiement de facture,Reglement de factures via compte bancaire.,support,mobile,77.35,72 heures,trimestriel,Operation
262,Virement local,Transfert d'argent vers un compte local.,support,mobile,142.42,immédiat, la demande,Information
263,Assistance client,Support et aide apportee au client.,support,en agence,45.55,immédiat,trimestriel,Information
264,Assistance client,Support et aide apportee au client.,informatif,en ligne,135.19,72 heures,annuel,Support
265,Virement local,Transfert d'argent vers un compte local.,informatif,telephone,19.19,24h, la demande,Information
266,Paiement de facture,Reglement de factures via compte bancaire.,informatif,en agence,81.03,immédiat,trimestriel,Operation
267,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,mobile,118.98,24h, la demande,Information
268,Releve bancaire,Fournit l'historique des operations du compte.,support,mobile,137.0,48h,annuel,Information
269,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,telephone,131.51,48h,mensuel,Support
270,Assistance client,Support et aide apportee au client.,support,en ligne,128.75,48h,ponctuel,Operation
271,Consultation de compte,Permet de consulter le solde et les operations.,support,telephone,67.37,immédiat,annuel,Transaction
272,Depot d'argent,Depot d'especes sur un compte bancaire.,support,telephone,84.55,48h, la demande,Operation
273,Assistance client,Support et aide apportee au client.,informatif,mobile,93.09,immédiat,ponctuel,Transaction
274,Demande de cheque,Service pour obtenir un nouveau chequier.,support,telephone,68.66,24h,annuel,Support
275,Virement local,Transfert d'argent vers un compte local.,transactionnel,telephone,93.72,5 jours,annuel,Information
276,Virement local,Transfert d'argent vers un compte local.,support,mobile,32.49,72 heures,ponctuel,Information
277,Assistance client,Support et aide apportee au client.,transactionnel,mobile,86.25,immédiat,annuel,Information
278,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,en ligne,138.95,48h,mensuel,Transaction
279,Souscription produit,Demande de souscription a un produit bancaire.,support,en agence,40.56,immédiat,trimestriel,Support
280,Paiement de facture,Reglement de factures via compte bancaire.,informatif,en ligne,58.35,immédiat, la demande,Transaction
281,Paiement de facture,Reglement de factures via compte bancaire.,informatif,telephone,117.96,24h,annuel,Support
282,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en agence,125.05,24h,mensuel,Support
283,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,mobile,116.45,immédiat,mensuel,Transaction
284,Virement local,Transfert d'argent vers un compte local.,informatif,telephone,148.53,immédiat,mensuel,Operation
285,Paiement de facture,Reglement de factures via compte bancaire.,transactionnel,en agence,82.88,48h,annuel,Operation
286,Souscription produit,Demande de souscription a un produit bancaire.,support,mobile,118.15,immédiat,trimestriel,Support
287,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,mobile,27.24,72 heures,annuel,Support
288,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,en agence,131.32,48h,annuel,Transaction
289,Assistance client,Support et aide apportee au client.,transactionnel,telephone,98.0,immédiat,mensuel,Transaction
290,Paiement de facture,Reglement de factures via compte bancaire.,transactionnel,mobile,10.98,24h,annuel,Transaction
291,Releve bancaire,Fournit l'historique des operations du compte.,support,en ligne,18.75,5 jours,trimestriel,Operation
292,Virement local,Transfert d'argent vers un compte local.,support,mobile,92.48,5 jours,annuel,Transaction
293,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,telephone,120.19,72 heures,ponctuel,Transaction
294,Virement local,Transfert d'argent vers un compte local.,informatif,mobile,140.8,immédiat,trimestriel,Operation
295,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,telephone,4.71,immédiat,trimestriel,Operation
296,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,telephone,148.77,48h,mensuel,Information
297,Paiement de facture,Reglement de factures via compte bancaire.,support,telephone,12.37,72 heures,mensuel,Transaction
298,Assistance client,Support et aide apportee au client.,support,telephone,65.5,immédiat,trimestriel,Information
299,Consultation de compte,Permet de consulter le solde et les operations.,support,telephone,120.0,immédiat,trimestriel,Operation
300,Virement local,Transfert d'argent vers un compte local.,informatif,telephone,64.36,5 jours,mensuel,Support
301,Releve bancaire,Fournit l'historique des operations du compte.,support,telephone,46.14,48h,mensuel,Information
302,Demande de cheque,Service pour obtenir un nouveau chequier.,support,mobile,132.36,immédiat,trimestriel,Information
303,Paiement de facture,Reglement de factures via compte bancaire.,support,telephone,25.97,24h,trimestriel,Support
304,Assistance client,Support et aide apportee au client.,transactionnel,en agence,94.95,24h,mensuel,Support
305,Souscription produit,Demande de souscription a un produit bancaire.,support,en ligne,18.4,5 jours,ponctuel,Transaction
306,Virement local,Transfert d'argent vers un compte local.,informatif,en agence,31.74,24h,ponctuel,Information
307,Releve bancaire,Fournit l'historique des operations du compte.,support,mobile,142.21,48h,trimestriel,Information
308,Assistance client,Support et aide apportee au client.,informatif,telephone,10.66,48h,ponctuel,Transaction
309,Releve bancaire,Fournit l'historique des operations du compte.,support,telephone,58.59,48h,trimestriel,Support
310,Consultation de compte,Permet de consulter le solde et les operations.,support,en ligne,86.51,immédiat,annuel,Transaction
311,Souscription produit,Demande de souscription a un produit bancaire.,informatif,telephone,97.94,72 heures,annuel,Transaction
312,Assistance client,Support et aide apportee au client.,informatif,telephone,107.94,72 heures,annuel,Transaction
313,Virement local,Transfert d'argent vers un compte local.,informatif,telephone,7.03,48h,mensuel,Support
314,Releve bancaire,Fournit l'historique des operations du compte.,support,mobile,127.48,24h, la demande,Transaction
315,Consultation de compte,Permet de consulter le solde et les operations.,informatif,mobile,132.07,24h,ponctuel,Information
316,Souscription produit,Demande de souscription a un produit bancaire.,informatif,en agence,43.13,5 jours, la demande,Support
317,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,en ligne,88.99,5 jours,annuel,Operation
318,Retrait au guichet,Retrait d'argent liquide en agence.,informatif,mobile,44.86,48h,mensuel,Transaction
319,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,telephone,11.55,5 jours,trimestriel,Information
320,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,en ligne,89.24,5 jours,annuel,Support
321,Releve bancaire,Fournit l'historique des operations du compte.,support,telephone,117.77,48h,ponctuel,Transaction
322,Paiement de facture,Reglement de factures via compte bancaire.,informatif,telephone,20.95,72 heures,annuel,Support
323,Assistance client,Support et aide apportee au client.,support,en agence,36.86,immédiat,trimestriel,Transaction
324,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,en ligne,13.34,24h, la demande,Transaction
325,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,en agence,134.53,immédiat,ponctuel,Support
326,Souscription produit,Demande de souscription a un produit bancaire.,informatif,en agence,60.07,48h, la demande,Transaction
327,Releve bancaire,Fournit l'historique des operations du compte.,informatif,mobile,78.46,48h,trimestriel,Operation
328,Assistance client,Support et aide apportee au client.,support,mobile,53.32,5 jours,annuel,Transaction
329,Souscription produit,Demande de souscription a un produit bancaire.,informatif,en agence,41.47,72 heures, la demande,Support
330,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,mobile,68.22,5 jours,mensuel,Operation
331,Assistance client,Support et aide apportee au client.,transactionnel,telephone,143.65,5 jours,mensuel,Operation
332,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,en agence,98.51,48h,trimestriel,Support
333,Depot d'argent,Depot d'especes sur un compte bancaire.,informatif,telephone,146.01,24h,mensuel,Transaction
334,Paiement de facture,Reglement de factures via compte bancaire.,support,mobile,106.59,5 jours,annuel,Support
335,Assistance client,Support et aide apportee au client.,transactionnel,telephone,98.0,24h,trimestriel,Information
336,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,en agence,90.0,5 jours,ponctuel,Operation
337,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,mobile,129.11,5 jours,trimestriel,Transaction
338,Paiement de facture,Reglement de factures via compte bancaire.,informatif,en ligne,88.79,72 heures, la demande,Support
339,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,telephone,78.78,48h,ponctuel,Support
340,Depot d'argent,Depot d'especes sur un compte bancaire.,support,telephone,28.69,72 heures, la demande,Transaction
341,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en agence,121.9,immédiat,mensuel,Transaction
342,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,en agence,101.95,5 jours,trimestriel,Transaction
343,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en ligne,81.0,72 heures,mensuel,Operation
344,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en agence,116.38,48h,ponctuel,Transaction
345,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,mobile,134.86,72 heures,mensuel,Transaction
346,Assistance client,Support et aide apportee au client.,support,mobile,62.56,24h,mensuel,Operation
347,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,telephone,50.49,72 heures,mensuel,Operation
348,Assistance client,Support et aide apportee au client.,support,en ligne,147.81,48h,ponctuel,Support
349,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,mobile,28.29,24h,annuel,Support
350,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,en ligne,101.04,immédiat,trimestriel,Transaction
351,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,en agence,96.48,48h,trimestriel,Operation
352,Depot d'argent,Depot d'especes sur un compte bancaire.,support,mobile,9.83,48h,mensuel,Information
353,Assistance client,Support et aide apportee au client.,transactionnel,mobile,79.38,24h,trimestriel,Support
354,Depot d'argent,Depot d'especes sur un compte bancaire.,informatif,mobile,55.36,5 jours,mensuel,Information
355,Assistance client,Support et aide apportee au client.,transactionnel,en agence,128.25,5 jours, la demande,Support
356,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,en ligne,39.75,immédiat,trimestriel,Operation
357,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,en agence,136.09,immédiat,annuel,Support
358,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,en ligne,35.34,48h,mensuel,Operation
359,Depot d'argent,Depot d'especes sur un compte bancaire.,informatif,telephone,94.44,24h,annuel,Operation
360,Releve bancaire,Fournit l'historique des operations du compte.,informatif,mobile,38.59,72 heures,ponctuel,Information
361,Assistance client,Support et aide apportee au client.,transactionnel,telephone,53.55,24h,trimestriel,Operation
362,Paiement de facture,Reglement de factures via compte bancaire.,informatif,en agence,43.22,immédiat,mensuel,Operation
363,Depot d'argent,Depot d'especes sur un compte bancaire.,informatif,telephone,15.86,24h, la demande,Support
364,Souscription produit,Demande de souscription a un produit bancaire.,support,en ligne,91.08,24h,annuel,Support
365,Virement local,Transfert d'argent vers un compte local.,transactionnel,en agence,51.86,immédiat,mensuel,Operation
366,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en ligne,85.41,72 heures,mensuel,Operation
367,Paiement de facture,Reglement de factures via compte bancaire.,support,mobile,75.64,48h,annuel,Transaction
368,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en ligne,105.73,5 jours,ponctuel,Transaction
369,Paiement de facture,Reglement de factures via compte bancaire.,support,en agence,33.16,immédiat, la demande,Information
370,Virement local,Transfert d'argent vers un compte local.,transactionnel,telephone,52.0,24h, la demande,Operation
371,Paiement de facture,Reglement de factures via compte bancaire.,informatif,telephone,100.19,immédiat,trimestriel,Support
372,Depot d'argent,Depot d'especes sur un compte bancaire.,transactionnel,en agence,63.21,24h,mensuel,Information
373,Paiement de facture,Reglement de factures via compte bancaire.,support,telephone,128.46,48h, la demande,Operation
374,Paiement de facture,Reglement de factures via compte bancaire.,transactionnel,en agence,107.57,48h,mensuel,Information
375,Consultation de compte,Permet de consulter le solde et les operations.,informatif,en ligne,58.84,48h,trimestriel,Operation
376,Depot d'argent,Depot d'especes sur un compte bancaire.,transactionnel,telephone,88.24,48h,mensuel,Support
377,Paiement de facture,Reglement de factures via compte bancaire.,support,en agence,94.73,72 heures,mensuel,Support
378,Consultation de compte,Permet de consulter le solde et les operations.,informatif,telephone,107.67,24h,trimestriel,Operation
379,Releve bancaire,Fournit l'historique des operations du compte.,informatif,en agence,127.08,5 jours,annuel,Information
380,Depot d'argent,Depot d'especes sur un compte bancaire.,informatif,telephone,15.96,5 jours,mensuel,Transaction
381,Demande de cheque,Service pour obtenir un nouveau chequier.,support,mobile,32.71,immédiat,ponctuel,Information
382,Depot d'argent,Depot d'especes sur un compte bancaire.,transactionnel,en agence,99.84,24h,mensuel,Transaction
383,Consultation de compte,Permet de consulter le solde et les operations.,support,telephone,96.81,72 heures,annuel,Support
384,Assistance client,Support et aide apportee au client.,informatif,telephone,55.45,72 heures,ponctuel,Operation
385,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,mobile,144.59,immédiat,mensuel,Information
386,Souscription produit,Demande de souscription a un produit bancaire.,informatif,telephone,95.66,24h,mensuel,Transaction
387,Virement local,Transfert d'argent vers un compte local.,informatif,mobile,97.28,72 heures, la demande,Transaction
388,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,mobile,44.5,72 heures,mensuel,Operation
389,Virement local,Transfert d'argent vers un compte local.,transactionnel,telephone,46.89,24h,trimestriel,Information
390,Assistance client,Support et aide apportee au client.,support,mobile,16.23,72 heures,annuel,Operation
391,Demande de cheque,Service pour obtenir un nouveau chequier.,support,telephone,53.85,5 jours,trimestriel,Operation
392,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,mobile,118.36,immédiat,ponctuel,Transaction
393,Releve bancaire,Fournit l'historique des operations du compte.,support,en ligne,67.16,48h,mensuel,Operation
394,Depot d'argent,Depot d'especes sur un compte bancaire.,support,telephone,110.51,5 jours,trimestriel,Transaction
395,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,en agence,84.59,24h,mensuel,Operation
396,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,mobile,50.78,72 heures, la demande,Support
397,Virement local,Transfert d'argent vers un compte local.,support,en ligne,67.97,24h,mensuel,Support
398,Consultation de compte,Permet de consulter le solde et les operations.,informatif,telephone,6.76,immédiat,trimestriel,Transaction
399,Consultation de compte,Permet de consulter le solde et les operations.,informatif,mobile,32.1,24h, la demande,Information
400,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,en agence,33.1,72 heures,mensuel,Transaction
401,Releve bancaire,Fournit l'historique des operations du compte.,support,en ligne,18.28,5 jours,mensuel,Transaction
402,Assistance client,Support et aide apportee au client.,support,en ligne,46.71,24h, la demande,Information
403,Assistance client,Support et aide apportee au client.,transactionnel,mobile,4.94,48h, la demande,Information
404,Depot d'argent,Depot d'especes sur un compte bancaire.,transactionnel,mobile,3.84,72 heures, la demande,Operation
405,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,en agence,138.17,72 heures, la demande,Support
406,Depot d'argent,Depot d'especes sur un compte bancaire.,support,mobile,112.73,72 heures,annuel,Support
407,Virement local,Transfert d'argent vers un compte local.,transactionnel,en agence,142.63,72 heures, la demande,Information
408,Paiement de facture,Reglement de factures via compte bancaire.,informatif,mobile,59.89,72 heures,annuel,Support
409,Depot d'argent,Depot d'especes sur un compte bancaire.,informatif,en ligne,64.71,immédiat, la demande,Support
410,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,telephone,75.83,48h,ponctuel,Support
411,Releve bancaire,Fournit l'historique des operations du compte.,informatif,mobile,86.89,48h,annuel,Operation
412,Paiement de facture,Reglement de factures via compte bancaire.,support,telephone,118.91,72 heures,annuel,Operation
413,Virement local,Transfert d'argent vers un compte local.,transactionnel,en ligne,121.08,24h,trimestriel,Information
414,Souscription produit,Demande de souscription a un produit bancaire.,support,en ligne,73.18,48h,annuel,Transaction
415,Depot d'argent,Depot d'especes sur un compte bancaire.,support,en ligne,71.04,immédiat,trimestriel,Information
416,Assistance client,Support et aide apportee au client.,transactionnel,en ligne,117.14,24h,trimestriel,Support
417,Souscription produit,Demande de souscription a un produit bancaire.,informatif,telephone,59.66,immédiat,trimestriel,Support
418,Retrait au guichet,Retrait d'argent liquide en agence.,informatif,telephone,13.04,immédiat,annuel,Operation
419,Souscription produit,Demande de souscription a un produit bancaire.,informatif,en ligne,75.32,5 jours,annuel,Transaction
420,Souscription produit,Demande de souscription a un produit bancaire.,support,telephone,141.4,5 jours,mensuel,Information
421,Paiement de facture,Reglement de factures via compte bancaire.,informatif,mobile,133.42,24h, la demande,Operation
422,Assistance client,Support et aide apportee au client.,transactionnel,telephone,93.24,48h,annuel,Information
423,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,mobile,40.96,5 jours, la demande,Operation
424,Depot d'argent,Depot d'especes sur un compte bancaire.,support,en ligne,130.32,5 jours,mensuel,Operation
425,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en agence,59.26,24h,trimestriel,Information
426,Souscription produit,Demande de souscription a un produit bancaire.,informatif,en agence,120.68,24h,annuel,Support
427,Retrait au guichet,Retrait d'argent liquide en agence.,support,en ligne,94.75,5 jours, la demande,Transaction
428,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,en ligne,23.99,immédiat,ponctuel,Support
429,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en agence,75.18,48h,mensuel,Transaction
430,Depot d'argent,Depot d'especes sur un compte bancaire.,transactionnel,en ligne,36.07,immédiat,trimestriel,Operation
431,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en agence,139.23,24h,annuel,Transaction
432,Assistance client,Support et aide apportee au client.,support,en agence,43.66,immédiat, la demande,Operation
433,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,en agence,25.19,immédiat,mensuel,Operation
434,Releve bancaire,Fournit l'historique des operations du compte.,transactionnel,telephone,72.59,immédiat,ponctuel,Information
435,Virement local,Transfert d'argent vers un compte local.,support,mobile,90.66,24h,ponctuel,Information
436,Consultation de compte,Permet de consulter le solde et les operations.,informatif,mobile,59.83,5 jours,ponctuel,Operation
437,Virement local,Transfert d'argent vers un compte local.,support,en agence,103.54,5 jours,ponctuel,Support
438,Souscription produit,Demande de souscription a un produit bancaire.,informatif,mobile,126.43,24h,mensuel,Transaction
439,Consultation de compte,Permet de consulter le solde et les operations.,informatif,en ligne,38.58,24h, la demande,Operation
440,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,mobile,136.97,48h,trimestriel,Information
441,Assistance client,Support et aide apportee au client.,informatif,telephone,92.82,immédiat,annuel,Support
442,Retrait au guichet,Retrait d'argent liquide en agence.,support,telephone,1.62,72 heures,mensuel,Support
443,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,en agence,126.56,immédiat,ponctuel,Operation
444,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en agence,129.16,5 jours,mensuel,Transaction
445,Retrait au guichet,Retrait d'argent liquide en agence.,support,en agence,26.81,24h,mensuel,Operation
446,Virement local,Transfert d'argent vers un compte local.,informatif,en agence,3.75,5 jours,mensuel,Information
447,Souscription produit,Demande de souscription a un produit bancaire.,informatif,en agence,81.96,24h,trimestriel,Information
448,Assistance client,Support et aide apportee au client.,support,telephone,57.66,48h,mensuel,Operation
449,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en agence,33.04,immédiat,annuel,Operation
450,Releve bancaire,Fournit l'historique des operations du compte.,support,mobile,108.83,24h, la demande,Operation
451,Retrait au guichet,Retrait d'argent liquide en agence.,transactionnel,telephone,74.12,immédiat,ponctuel,Transaction
452,Assistance client,Support et aide apportee au client.,informatif,telephone,75.83,immédiat,annuel,Operation
453,Depot d'argent,Depot d'especes sur un compte bancaire.,support,telephone,110.53,5 jours,ponctuel,Support
454,Souscription produit,Demande de souscription a un produit bancaire.,informatif,en agence,49.96,5 jours,annuel,Support
455,Virement local,Transfert d'argent vers un compte local.,transactionnel,telephone,66.36,immédiat,mensuel,Information
456,Depot d'argent,Depot d'especes sur un compte bancaire.,transactionnel,mobile,12.55,48h,mensuel,Transaction
457,Virement local,Transfert d'argent vers un compte local.,informatif,en agence,54.15,24h,ponctuel,Operation
458,Releve bancaire,Fournit l'historique des operations du compte.,support,mobile,116.9,immédiat,trimestriel,Operation
459,Releve bancaire,Fournit l'historique des operations du compte.,informatif,mobile,119.3,immédiat, la demande,Transaction
460,Releve bancaire,Fournit l'historique des operations du compte.,support,mobile,24.57,48h,annuel,Transaction
461,Souscription produit,Demande de souscription a un produit bancaire.,informatif,en agence,34.9,72 heures, la demande,Transaction
462,Souscription produit,Demande de souscription a un produit bancaire.,informatif,telephone,91.5,immédiat,ponctuel,Transaction
463,Releve bancaire,Fournit l'historique des operations du compte.,support,en ligne,149.43,72 heures,annuel,Support
464,Assistance client,Support et aide apportee au client.,support,mobile,124.62,48h, la demande,Information
465,Releve bancaire,Fournit l'historique des operations du compte.,informatif,mobile,107.68,immédiat,ponctuel,Transaction
466,Paiement de facture,Reglement de factures via compte bancaire.,transactionnel,telephone,25.05,5 jours,annuel,Operation
467,Depot d'argent,Depot d'especes sur un compte bancaire.,support,en ligne,82.27,5 jours,ponctuel,Support
468,Virement local,Transfert d'argent vers un compte local.,support,en ligne,19.57,48h,ponctuel,Operation
469,Depot d'argent,Depot d'especes sur un compte bancaire.,transactionnel,en agence,123.96,48h,ponctuel,Transaction
470,Virement local,Transfert d'argent vers un compte local.,transactionnel,telephone,80.12,immédiat, la demande,Operation
471,Paiement de facture,Reglement de factures via compte bancaire.,transactionnel,mobile,4.42,48h,ponctuel,Operation
472,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,en agence,9.92,72 heures,trimestriel,Information
473,Demande de cheque,Service pour obtenir un nouveau chequier.,transactionnel,en agence,69.13,72 heures,trimestriel,Information
474,Virement local,Transfert d'argent vers un compte local.,informatif,telephone,85.01,5 jours, la demande,Transaction
475,Consultation de compte,Permet de consulter le solde et les operations.,transactionnel,en agence,24.53,48h,ponctuel,Support
476,Virement local,Transfert d'argent vers un compte local.,support,en agence,46.19,48h, la demande,Support
477,Paiement de facture,Reglement de factures via compte bancaire.,transactionnel,en agence,86.63,immédiat,ponctuel,Support
478,Paiement de facture,Reglement de factures via compte bancaire.,informatif,telephone,74.98,72 heures,annuel,Transaction
479,Depot d'argent,Depot d'especes sur un compte bancaire.,informatif,en agence,87.67,48h,mensuel,Operation
480,Releve bancaire,Fournit l'historique des operations du compte.,support,telephone,110.67,immédiat,annuel,Support
481,Demande de cheque,Service pour obtenir un nouveau chequier.,support,en ligne,118.52,72 heures,annuel,Support
482,Demande de cheque,Service pour obtenir un nouveau chequier.,informatif,en agence,139.8,72 heures,annuel,Support
483,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,en ligne,99.82,5 jours,ponctuel,Transaction
484,Releve bancaire,Fournit l'historique des operations du compte.,support,mobile,143.59,48h,annuel,Support
485,Depot d'argent,Depot d'especes sur un compte bancaire.,transactionnel,telephone,69.07,24h,trimestriel,Operation
486,Paiement de facture,Reglement de factures via compte bancaire.,support,en ligne,8.9,48h, la demande,Transaction
487,Retrait au guichet,Retrait d'argent liquide en agence.,support,mobile,78.62,5 jours,annuel,Support
488,Paiement de facture,Reglement de factures via compte bancaire.,informatif,telephone,26.2,72 heures,mensuel,Transaction
489,Paiement de facture,Reglement de factures via compte bancaire.,support,en ligne,32.24,48h,annuel,Information
490,Souscription produit,Demande de souscription a un produit bancaire.,transactionnel,mobile,4.5,5 jours,mensuel,Operation
491,Virement local,Transfert d'argent vers un compte local.,support,telephone,99.9,24h, la demande,Support
492,Consultation de compte,Permet de consulter le solde et les operations.,informatif,telephone,42.93,48h,trimestriel,Transaction
493,Consultation de compte,Permet de consulter le solde et les operations.,support,telephone,37.27,5 jours,mensuel,Operation
494,Souscription produit,Demande de souscription a un produit bancaire.,support,telephone,119.41,48h,mensuel,Information
495,Releve bancaire,Fournit l'historique des operations du compte.,support,en agence,82.96,5 jours,annuel,Operation
496,Paiement de facture,Reglement de factures via compte bancaire.,informatif,en ligne,118.36,24h,annuel,Support
497,Retrait au guichet,Retrait d'argent liquide en agence.,informatif,en ligne,124.57,48h,ponctuel,Transaction
498,Demande de cheque,Service pour obtenir un nouveau chequier.,support,en ligne,8.48,immédiat,annuel,Transaction
499,Assistance client,Support et aide apportee au client.,transactionnel,en ligne,40.53,immédiat,ponctuel,Operation
500,Assistance client,Support et aide apportee au client.,support,en ligne,13.78,72 heures,mensuel,Support
