id_agence,nom_agence,ville,quartier,adresse,telephone,email,code_agence,date_ouverture
1,agence centrale,agadir,bourgogne,130 rue amrani bourgogne agadir maroc,526535309,contact1banquema,ag0001,2021-07-21
2,agence oasis,rabat,oasis,201 rue boukhriss oasis rabat maroc,527789791,contact2banquema,ag0002,2014-03-31
3,agence agdal,casablanca,maarif,280 rue jebari maarif casablanca maroc,525558087,contact3banquema,ag0003,2006-10-21
4,agence hay riad,temara,maarif,52 rue bakkali maarif temara maroc,528217504,contact4banquema,ag0004,2013-07-11
5,agence mabella,oujda,belvdre,74 rue ouzzani belvdre oujda maroc,522851395,contact5banquema,ag0005,2021-08-08
6,agence hay riad,temara,maarif,67 rue jebari maarif temara maroc,521996745,contact6banquema,ag0006,2022-05-08
7,agence centrale,tanger,maarif,163 rue zerouali maarif tanger maroc,526844188,contact7banquema,ag0007,2014-05-23
8,agence gueliz,ttouan,sidi moumen,213 rue fassi sidi moumen ttouan maroc,522049656,contact8banquema,ag0008,2009-07-27
9,agence sidi maarouf,tanger,sidi marouf,84 rue lahlou sidi marouf tanger maroc,526249141,contact9banquema,ag0009,2012-09-18
10,agence maarif,fes,mabella,126 rue lahlou mabella fes maroc,522234039,contact10banquema,ag0010,2011-11-26
11,agence oulfa,temara,bourgogne,25 rue bakkali bourgogne temara maroc,529198077,contact11banquema,ag0011,2024-09-16
12,agence agdal,marrakech,yacoub el mansour,228 rue baroudi yacoub el mansour marrakech maroc,523942841,contact12banquema,ag0012,2015-02-20
13,agence centrale,tanger,bourgogne,139 rue tahiri bourgogne tanger maroc,525134876,contact13banquema,ag0013,2015-09-29
14,agence gueliz,kenitra,oasis,90 rue bakkali oasis kenitra maroc,529996106,contact14banquema,ag0014,2025-01-28
15,agence hay riad,tanger,maarif,55 rue amrani maarif tanger maroc,525529972,contact15banquema,ag0015,2018-01-23
16,agence oulfa,fes,sidi marouf,167 rue bakkali sidi marouf fes maroc,527304832,contact16banquema,ag0016,2012-12-17
17,agence oulfa,fes,yacoub el mansour,229 rue lahlou yacoub el mansour fes maroc,529263762,contact17banquema,ag0017,2006-01-01
18,agence gueliz,temara,gueliz,206 rue bennani gueliz temara maroc,521383382,contact18banquema,ag0018,2005-05-26
19,agence centrale,kenitra,belvdre,273 rue ouzzani belvdre kenitra maroc,523992303,contact19banquema,ag0019,2018-08-31
20,agence oulfa,casablanca,belvdre,184 rue naciri belvdre casablanca maroc,528514417,contact20banquema,ag0020,2022-01-02
21,agence oulfa,casablanca,mabella,242 rue fassi mabella casablanca maroc,527243838,contact21banquema,ag0021,2020-11-26
22,agence maarif,rabat,tabriquet,159 rue zerouali tabriquet rabat maroc,522987869,contact22banquema,ag0022,2018-02-17
23,agence sidi maarouf,ttouan,bourgogne,113 rue moutawakil bourgogne ttouan maroc,524949557,contact23banquema,ag0023,2010-08-27
24,agence sidi maarouf,tanger,sidi moumen,93 rue bennani sidi moumen tanger maroc,525916056,contact24banquema,ag0024,2016-09-03
25,agence tabriquet,ttouan,oasis,227 rue bakkali oasis ttouan maroc,528320247,contact25banquema,ag0025,2016-06-20
26,agence gueliz,ttouan,sidi moumen,46 rue fassi sidi moumen ttouan maroc,527536542,contact26banquema,ag0026,2005-07-31
27,agence centrale,ttouan,tabriquet,281 rue maaroufi tabriquet ttouan maroc,525124603,contact27banquema,ag0027,2012-09-20
28,agence tabriquet,tanger,yacoub el mansour,211 rue chakiri yacoub el mansour tanger maroc,524196218,contact28banquema,ag0028,2010-10-09
29,agence mabella,tanger,tabriquet,54 rue amrani tabriquet tanger maroc,520009434,contact29banquema,ag0029,2017-02-22
30,agence oasis,temara,sidi moumen,183 rue elmansouri sidi moumen temara maroc,527797291,contact30banquema,ag0030,2005-09-06
31,agence sidi maarouf,casablanca,tabriquet,56 rue fadili tabriquet casablanca maroc,522816672,contact31banquema,ag0031,2007-10-14
32,agence mabella,fes,agdal,106 rue touil agdal fes maroc,528752470,contact32banquema,ag0032,2022-02-01
33,agence centrale,ttouan,tabriquet,193 rue bennani tabriquet ttouan maroc,528623789,contact33banquema,ag0033,2012-07-15
34,agence hay riad,marrakech,belvdre,235 rue rguig belvdre marrakech maroc,522179439,contact34banquema,ag0034,2018-03-21
35,agence oulfa,temara,tachfine,296 rue fadili tachfine temara maroc,529843386,contact35banquema,ag0035,2015-12-17
36,agence tabriquet,ttouan,mabella,117 rue elkhatib mabella ttouan maroc,524710426,contact36banquema,ag0036,2013-12-26
37,agence hay riad,oujda,bourgogne,55 rue tahiri bourgogne oujda maroc,524134187,contact37banquema,ag0037,2009-09-23
38,agence oasis,ttouan,sidi moumen,246 rue ouzzani sidi moumen ttouan maroc,522124764,contact38banquema,ag0038,2018-08-13
39,agence mabella,kenitra,agdal,169 rue lahlou agdal kenitra maroc,520816020,contact39banquema,ag0039,2011-07-22
40,agence tabriquet,marrakech,hay riad,267 rue hariri hay riad marrakech maroc,529076526,contact40banquema,ag0040,2015-01-12
41,agence maarif,temara,tachfine,181 rue fadili tachfine temara maroc,528612818,contact41banquema,ag0041,2008-11-26
42,agence oasis,tanger,mabella,288 rue sekkat mabella tanger maroc,528591642,contact42banquema,ag0042,2020-12-07
43,agence agdal,oujda,ain sebaa,54 rue elidrissi ain sebaa oujda maroc,523940163,contact43banquema,ag0043,2023-08-02
44,agence gueliz,ttouan,yacoub el mansour,203 rue lahlou yacoub el mansour ttouan maroc,520858147,contact44banquema,ag0044,2013-12-22
45,agence gueliz,ttouan,maarif,3 rue bensaid maarif ttouan maroc,528328905,contact45banquema,ag0045,2011-07-23
46,agence agdal,ttouan,belvdre,299 rue bennis belvdre ttouan maroc,524642138,contact46banquema,ag0046,2025-02-10
47,agence agdal,tanger,yacoub el mansour,130 rue sekkat yacoub el mansour tanger maroc,524649030,contact47banquema,ag0047,2007-05-21
48,agence mabella,rabat,sidi marouf,23 rue chouaib sidi marouf rabat maroc,529756461,contact48banquema,ag0048,2011-08-30
49,agence mabella,fes,mabella,219 rue chakiri mabella fes maroc,525760621,contact49banquema,ag0049,2024-10-16
50,agence tabriquet,agadir,tachfine,119 rue jebari tachfine agadir maroc,525950148,contact50banquema,ag0050,2010-05-23
51,agence agdal,ttouan,agdal,201 rue elkhatib agdal ttouan maroc,524185674,contact51banquema,ag0051,2012-10-01
52,agence oasis,tanger,sidi moumen,264 rue touil sidi moumen tanger maroc,528652424,contact52banquema,ag0052,2012-11-01
53,agence centrale,tanger,tachfine,291 rue tahiri tachfine tanger maroc,527752101,contact53banquema,ag0053,2015-10-11
54,agence sidi maarouf,ttouan,mabella,294 rue rguig mabella ttouan maroc,528493995,contact54banquema,ag0054,2016-07-26
55,agence gueliz,tanger,yacoub el mansour,260 rue chraibi yacoub el mansour tanger maroc,528336250,contact55banquema,ag0055,2008-07-18
56,agence mabella,tanger,oasis,283 rue amrani oasis tanger maroc,528001915,contact56banquema,ag0056,2007-09-05
57,agence centrale,temara,belvdre,112 rue jebari belvdre temara maroc,528200798,contact57banquema,ag0057,2005-10-28
58,agence hay riad,marrakech,maarif,227 rue baroudi maarif marrakech maroc,527817694,contact58banquema,ag0058,2006-05-24
59,agence gueliz,kenitra,oasis,49 rue fadili oasis kenitra maroc,525306682,contact59banquema,ag0059,2024-09-29
60,agence oulfa,casablanca,tachfine,2 rue bensaid tachfine casablanca maroc,528969124,contact60banquema,ag0060,2006-08-30
61,agence maarif,marrakech,oasis,299 rue zahiri oasis marrakech maroc,523200209,contact61banquema,ag0061,2019-08-28
62,agence agdal,marrakech,mabella,257 rue bakkali mabella marrakech maroc,520229076,contact62banquema,ag0062,2006-11-19
63,agence oasis,marrakech,bourgogne,97 rue rguig bourgogne marrakech maroc,529862798,contact63banquema,ag0063,2017-06-04
64,agence sidi maarouf,ttouan,mdina,67 rue elidrissi mdina ttouan maroc,520725078,contact64banquema,ag0064,2013-08-13
65,agence maarif,fes,hay riad,45 rue chraibi hay riad fes maroc,526586532,contact65banquema,ag0065,2005-06-30
66,agence gueliz,tanger,hay riad,82 rue chouaib hay riad tanger maroc,525260696,contact66banquema,ag0066,2023-09-18
67,agence oasis,tanger,tabriquet,61 rue jebari tabriquet tanger maroc,527557973,contact67banquema,ag0067,2024-03-20
68,agence maarif,fes,belvdre,28 rue touil belvdre fes maroc,522146794,contact68banquema,ag0068,2019-05-24
69,agence hay riad,marrakech,belvdre,247 rue bensaid belvdre marrakech maroc,524899269,contact69banquema,ag0069,2022-09-03
70,agence centrale,oujda,tabriquet,169 rue fadili tabriquet oujda maroc,529817356,contact70banquema,ag0070,2013-12-03
71,agence sidi maarouf,marrakech,mabella,183 rue bakkali mabella marrakech maroc,525782711,contact71banquema,ag0071,2013-07-28
72,agence centrale,kenitra,maarif,77 rue bennani maarif kenitra maroc,526896665,contact72banquema,ag0072,2005-10-12
73,agence gueliz,rabat,yacoub el mansour,129 rue amrani yacoub el mansour rabat maroc,527014497,contact73banquema,ag0073,2010-06-17
74,agence agdal,agadir,belvdre,185 rue ouzzani belvdre agadir maroc,527887091,contact74banquema,ag0074,2009-04-10
75,agence oulfa,oujda,agdal,82 rue fassi agdal oujda maroc,529457626,contact75banquema,ag0075,2008-04-24
76,agence maarif,marrakech,bourgogne,48 rue baroudi bourgogne marrakech maroc,528012950,contact76banquema,ag0076,2018-05-16
77,agence centrale,casablanca,sidi marouf,215 rue bakkali sidi marouf casablanca maroc,527341700,contact77banquema,ag0077,2018-08-30
78,agence maarif,oujda,agdal,79 rue zahiri agdal oujda maroc,529076815,contact78banquema,ag0078,2020-05-31
79,agence mabella,marrakech,tachfine,14 rue moutawakil tachfine marrakech maroc,524966720,contact79banquema,ag0079,2012-10-15
80,agence sidi maarouf,agadir,oasis,286 rue lahlou oasis agadir maroc,524166325,contact80banquema,ag0080,2009-12-08
81,agence sidi maarouf,casablanca,bourgogne,132 rue moutawakil bourgogne casablanca maroc,525433167,contact81banquema,ag0081,2005-07-11
82,agence maarif,tanger,sidi moumen,171 rue bennani sidi moumen tanger maroc,526843257,contact82banquema,ag0082,2014-11-20
83,agence centrale,marrakech,mabella,171 rue rguig mabella marrakech maroc,528383950,contact83banquema,ag0083,2016-09-08
84,agence agdal,kenitra,yacoub el mansour,276 rue bennis yacoub el mansour kenitra maroc,523630379,contact84banquema,ag0084,2020-11-02
85,agence mabella,marrakech,tachfine,71 rue bensaid tachfine marrakech maroc,523215960,contact85banquema,ag0085,2016-09-02
86,agence mabella,ttouan,mabella,32 rue boukhriss mabella ttouan maroc,520593337,contact86banquema,ag0086,2024-06-12
87,agence gueliz,casablanca,ain sebaa,92 rue lahlou ain sebaa casablanca maroc,526716043,contact87banquema,ag0087,2024-03-28
88,agence oasis,ttouan,oasis,73 rue rguig oasis ttouan maroc,520291453,contact88banquema,ag0088,2023-10-13
89,agence centrale,fes,tachfine,95 rue chakiri tachfine fes maroc,529466271,contact89banquema,ag0089,2020-08-27
90,agence centrale,kenitra,mdina,173 rue hariri mdina kenitra maroc,526717783,contact90banquema,ag0090,2016-04-21
91,agence tabriquet,rabat,yacoub el mansour,20 rue rguig yacoub el mansour rabat maroc,520398576,contact91banquema,ag0091,2024-07-19
92,agence centrale,rabat,mdina,56 rue zahiri mdina rabat maroc,520936452,contact92banquema,ag0092,2011-08-21
93,agence agdal,marrakech,sidi moumen,107 rue boukhriss sidi moumen marrakech maroc,520556409,contact93banquema,ag0093,2008-04-16
94,agence maarif,kenitra,oasis,244 rue fadili oasis kenitra maroc,521921078,contact94banquema,ag0094,2011-02-15
95,agence gueliz,oujda,gueliz,38 rue elidrissi gueliz oujda maroc,523987452,contact95banquema,ag0095,2019-09-19
96,agence oasis,marrakech,sidi moumen,38 rue tahiri sidi moumen marrakech maroc,522643272,contact96banquema,ag0096,2015-11-29
97,agence oasis,ttouan,bourgogne,194 rue naciri bourgogne ttouan maroc,522461317,contact97banquema,ag0097,2011-01-02
98,agence centrale,rabat,maarif,173 rue maaroufi maarif rabat maroc,528059505,contact98banquema,ag0098,2018-10-02
99,agence mabella,rabat,gueliz,89 rue alaoui gueliz rabat maroc,520706718,contact99banquema,ag0099,2006-11-19
100,agence maarif,casablanca,bourgogne,287 rue chakiri bourgogne casablanca maroc,528571611,contact100banquema,ag0100,2013-03-01
101,agence agdal,marrakech,tachfine,238 rue chouaib tachfine marrakech maroc,523050619,contact101banquema,ag0101,2013-06-24
102,agence agdal,kenitra,tabriquet,28 rue bakkali tabriquet kenitra maroc,529389533,contact102banquema,ag0102,2019-07-26
103,agence tabriquet,tanger,yacoub el mansour,278 rue elidrissi yacoub el mansour tanger maroc,522793657,contact103banquema,ag0103,2011-05-27
104,agence mabella,temara,bourgogne,75 rue bennani bourgogne temara maroc,523246654,contact104banquema,ag0104,2005-08-05
105,agence centrale,fes,gueliz,266 rue zerouali gueliz fes maroc,521327921,contact105banquema,ag0105,2010-02-13
106,agence centrale,fes,oasis,296 rue elidrissi oasis fes maroc,524884456,contact106banquema,ag0106,2020-11-15
107,agence oulfa,agadir,oasis,215 rue moutawakil oasis agadir maroc,529723904,contact107banquema,ag0107,2017-11-23
108,agence mabella,tanger,gueliz,139 rue bensaid gueliz tanger maroc,520220468,contact108banquema,ag0108,2017-05-04
109,agence mabella,ttouan,oasis,10 rue baroudi oasis ttouan maroc,524450482,contact109banquema,ag0109,2023-01-08
110,agence sidi maarouf,kenitra,gueliz,132 rue alaoui gueliz kenitra maroc,522967621,contact110banquema,ag0110,2011-08-27
111,agence oulfa,tanger,yacoub el mansour,112 rue chouaib yacoub el mansour tanger maroc,527814431,contact111banquema,ag0111,2007-12-14
112,agence oulfa,agadir,yacoub el mansour,254 rue elidrissi yacoub el mansour agadir maroc,524376692,contact112banquema,ag0112,2014-01-04
113,agence oasis,casablanca,yacoub el mansour,2 rue naciri yacoub el mansour casablanca maroc,524573210,contact113banquema,ag0113,2021-01-08
114,agence tabriquet,oujda,mdina,246 rue chouaib mdina oujda maroc,520886805,contact114banquema,ag0114,2021-01-26
115,agence oasis,oujda,agdal,73 rue fadili agdal oujda maroc,528622635,contact115banquema,ag0115,2006-02-22
116,agence maarif,temara,sidi moumen,233 rue alaoui sidi moumen temara maroc,529156264,contact116banquema,ag0116,2009-08-05
117,agence centrale,agadir,gueliz,205 rue elmansouri gueliz agadir maroc,522287252,contact117banquema,ag0117,2005-05-05
118,agence mabella,temara,tabriquet,76 rue fadili tabriquet temara maroc,521194551,contact118banquema,ag0118,2020-06-11
119,agence centrale,oujda,belvdre,62 rue chouaib belvdre oujda maroc,520021974,contact119banquema,ag0119,2009-03-15
120,agence oulfa,tanger,hay riad,253 rue amrani hay riad tanger maroc,527117654,contact120banquema,ag0120,2008-05-24
121,agence mabella,casablanca,mdina,199 rue tahiri mdina casablanca maroc,529105812,contact121banquema,ag0121,2017-01-07
122,agence mabella,temara,maarif,104 rue amrani maarif temara maroc,526341769,contact122banquema,ag0122,2010-10-27
123,agence sidi maarouf,agadir,yacoub el mansour,296 rue zerouali yacoub el mansour agadir maroc,521075486,contact123banquema,ag0123,2012-12-25
124,agence gueliz,fes,yacoub el mansour,299 rue elmansouri yacoub el mansour fes maroc,522067132,contact124banquema,ag0124,2024-01-17
125,agence oulfa,fes,tabriquet,135 rue chakiri tabriquet fes maroc,526055966,contact125banquema,ag0125,2005-07-07
126,agence mabella,marrakech,mdina,139 rue amrani mdina marrakech maroc,520302086,contact126banquema,ag0126,2011-06-18
127,agence oulfa,rabat,sidi moumen,44 rue bennis sidi moumen rabat maroc,524390450,contact127banquema,ag0127,2011-09-27
128,agence centrale,temara,maarif,268 rue chouaib maarif temara maroc,521988097,contact128banquema,ag0128,2019-12-26
129,agence mabella,kenitra,maarif,264 rue chraibi maarif kenitra maroc,528152030,contact129banquema,ag0129,2011-01-11
130,agence tabriquet,rabat,mdina,88 rue bennani mdina rabat maroc,527840652,contact130banquema,ag0130,2008-09-03
131,agence agdal,rabat,mabella,29 rue bensaid mabella rabat maroc,520976688,contact131banquema,ag0131,2011-02-14
132,agence oulfa,agadir,hay riad,116 rue rguig hay riad agadir maroc,529713691,contact132banquema,ag0132,2007-08-09
133,agence mabella,tanger,mabella,227 rue bennis mabella tanger maroc,527600275,contact133banquema,ag0133,2017-04-20
134,agence hay riad,fes,tachfine,151 rue rguig tachfine fes maroc,520901080,contact134banquema,ag0134,2023-02-24
135,agence oasis,tanger,agdal,47 rue bennani agdal tanger maroc,520008452,contact135banquema,ag0135,2009-07-17
136,agence hay riad,casablanca,tachfine,241 rue bennani tachfine casablanca maroc,528327575,contact136banquema,ag0136,2023-01-28
137,agence maarif,temara,mabella,186 rue elkhatib mabella temara maroc,520198317,contact137banquema,ag0137,2024-10-18
138,agence agdal,tanger,maarif,77 rue moutawakil maarif tanger maroc,529484932,contact138banquema,ag0138,2021-12-09
139,agence oasis,kenitra,gueliz,118 rue lahlou gueliz kenitra maroc,522946501,contact139banquema,ag0139,2005-06-14
140,agence maarif,casablanca,agdal,7 rue hariri agdal casablanca maroc,527896498,contact140banquema,ag0140,2017-10-05
141,agence tabriquet,tanger,bourgogne,243 rue boukhriss bourgogne tanger maroc,525599609,contact141banquema,ag0141,2024-07-19
142,agence oasis,marrakech,sidi marouf,217 rue bakkali sidi marouf marrakech maroc,527571641,contact142banquema,ag0142,2008-07-08
143,agence maarif,agadir,belvdre,86 rue moutawakil belvdre agadir maroc,526435368,contact143banquema,ag0143,2020-01-24
144,agence maarif,ttouan,tabriquet,133 rue hariri tabriquet ttouan maroc,520942146,contact144banquema,ag0144,2008-12-04
145,agence hay riad,agadir,agdal,208 rue jebari agdal agadir maroc,525858971,contact145banquema,ag0145,2009-02-12
146,agence sidi maarouf,marrakech,yacoub el mansour,150 rue bennani yacoub el mansour marrakech maroc,521558866,contact146banquema,ag0146,2022-06-04
147,agence oasis,marrakech,hay riad,235 rue alaoui hay riad marrakech maroc,523854891,contact147banquema,ag0147,2020-02-28
148,agence mabella,kenitra,tabriquet,217 rue naciri tabriquet kenitra maroc,529620537,contact148banquema,ag0148,2012-07-01
149,agence hay riad,ttouan,yacoub el mansour,195 rue elidrissi yacoub el mansour ttouan maroc,526320381,contact149banquema,ag0149,2023-07-12
150,agence sidi maarouf,casablanca,sidi marouf,272 rue bakkali sidi marouf casablanca maroc,528328285,contact150banquema,ag0150,2017-12-10
151,agence oasis,rabat,tabriquet,235 rue jebari tabriquet rabat maroc,520778906,contact151banquema,ag0151,2016-08-11
152,agence mabella,tanger,ain sebaa,153 rue bennis ain sebaa tanger maroc,528660586,contact152banquema,ag0152,2024-01-11
153,agence oasis,temara,agdal,141 rue boukhriss agdal temara maroc,520584855,contact153banquema,ag0153,2024-01-15
154,agence sidi maarouf,temara,maarif,109 rue zerouali maarif temara maroc,528444237,contact154banquema,ag0154,2008-01-30
155,agence centrale,oujda,gueliz,146 rue tahiri gueliz oujda maroc,525964044,contact155banquema,ag0155,2015-12-15
156,agence centrale,kenitra,belvdre,136 rue bakkali belvdre kenitra maroc,529478077,contact156banquema,ag0156,2024-08-30
157,agence gueliz,ttouan,sidi moumen,286 rue rguig sidi moumen ttouan maroc,523064481,contact157banquema,ag0157,2021-01-31
158,agence maarif,agadir,mdina,125 rue bakkali mdina agadir maroc,527404992,contact158banquema,ag0158,2021-04-24
159,agence hay riad,ttouan,agdal,50 rue fadili agdal ttouan maroc,521518827,contact159banquema,ag0159,2011-01-02
160,agence hay riad,casablanca,bourgogne,266 rue moutawakil bourgogne casablanca maroc,528962927,contact160banquema,ag0160,2008-07-05
161,agence oulfa,agadir,oasis,218 rue fadili oasis agadir maroc,529292950,contact161banquema,ag0161,2018-04-17
162,agence maarif,tanger,sidi moumen,114 rue zerouali sidi moumen tanger maroc,521281345,contact162banquema,ag0162,2024-03-22
163,agence hay riad,marrakech,mdina,296 rue rguig mdina marrakech maroc,528389951,contact163banquema,ag0163,2022-11-21
164,agence gueliz,marrakech,maarif,233 rue tahiri maarif marrakech maroc,524613705,contact164banquema,ag0164,2006-10-26
165,agence maarif,temara,maarif,21 rue fadili maarif temara maroc,522479617,contact165banquema,ag0165,2007-01-07
166,agence oasis,oujda,belvdre,80 rue moutawakil belvdre oujda maroc,528310427,contact166banquema,ag0166,2016-11-11
167,agence sidi maarouf,fes,maarif,172 rue sekkat maarif fes maroc,524974557,contact167banquema,ag0167,2013-05-07
